policy,slot,episode_count,active_episode_count,tx_mean_padded,tx_std_padded,total_tx_mean_padded,power_mean_active,irs_oracle_match_rate_active,oracle_tx_gap_mean_active
SAC,1,1000,1000,40.162,2.819531166701301,40.162,0.3140423803528315,7.7,4.049
SAC,2,1000,1000,5.711,2.346375715864789,45.873,0.4658878433605932,8.1,2.441
SAC,3,1000,983,0.182,1.0074105419341213,46.055,0.02454484458355927,0.40691759918616477,3.227873855544252
SAC,4,1000,981,0.06,0.7337574531137657,46.115,0.003969762450557177,0.9174311926605505,1.854230377166157
SAC,5,1000,981,0.012,0.18400000000000002,46.127,0.0017527559860591605,0.40774719673802245,1.3312945973496433
SAC,6,1000,980,0.005,0.13028814220795384,46.132,0.0006025128956305639,3.2653061224489797,1.6948979591836735
SAC,7,1000,979,0.663,1.4619955540288074,46.795,0.10471921331763903,2.0429009193054135,1.5526046986721145
SAC,8,1000,977,0.614,1.1768619290299096,47.409,0.13994019773813876,3.991811668372569,1.353121801432958
SAC,9,1000,958,0.714,1.1046284443196275,48.123,0.1908913166353581,5.427974947807933,1.2233820459290188
SAC,10,1000,915,0.344,0.7068691533798883,48.467,0.1413144453692981,3.060109289617486,1.394535519125683
Codebook-Aware SAC,1,1000,1000,40.979,2.6173572549424735,40.979,0.2987581559043396,3.0,3.881
Codebook-Aware SAC,2,1000,999,5.0,2.5495097567963922,45.979,0.40788282196570574,7.6076076076076085,2.7237237237237237
Codebook-Aware SAC,3,1000,971,2.332,1.9513523515756965,48.311,0.43012962610257255,8.341915550978372,1.2873326467559216
Codebook-Aware SAC,4,1000,802,0.863,1.0277309959323013,49.174,0.3402590505580974,10.598503740648379,0.8827930174563591
Codebook-Aware SAC,5,1000,557,0.311,0.5968911123479725,49.485,0.24998554871476533,7.360861759425494,0.8545780969479354
Codebook-Aware SAC,6,1000,385,0.146,0.3932988685465545,49.631,0.19418911320937515,5.194805194805195,0.8935064935064935
Codebook-Aware SAC,7,1000,282,0.121,0.3746451654565957,49.752,0.21250678295560974,8.51063829787234,0.8085106382978723
Codebook-Aware SAC,8,1000,205,0.08,0.29933259094191533,49.832,0.2130671539766584,8.292682926829269,0.7658536585365854
Codebook-Aware SAC,9,1000,143,0.047,0.22088684886158344,49.879,0.19732397260454052,9.090909090909092,0.7832167832167832
Codebook-Aware SAC,10,1000,102,0.02,0.15362291495737215,49.899,0.09854831213373137,2.941176470588235,0.9215686274509803
Greedy IRS,1,1000,1000,44.86,1.6206171663906315,44.86,0.30600716489998936,100.0,0.0
Greedy IRS,2,1000,998,4.521,1.2944338530801796,49.381,0.41647529885122375,100.0,0.0
Greedy IRS,3,1000,483,0.581,0.679293014832333,49.962,0.34940650257812805,100.0,0.0
Greedy IRS,4,1000,33,0.031,0.1789944133206397,49.993,0.5004989154122325,100.0,0.0
Greedy IRS,5,1000,7,0.004,0.063118935352238,49.997,0.28438192649130645,100.0,0.0
Greedy IRS,6,1000,3,0.0,0.0,49.997,0.0,100.0,0.0
Greedy IRS,7,1000,3,0.0,0.0,49.997,0.0,100.0,0.0
Greedy IRS,8,1000,3,0.0,0.0,49.997,0.0,100.0,0.0
Greedy IRS,9,1000,3,0.0,0.0,49.997,0.0,100.0,0.0
Greedy IRS,10,1000,3,0.0,0.0,49.997,0.0,100.0,0.0
