Comparison,Scope,Metric,Baseline,Candidate,BaselineMean,CandidateMean,MeanDelta,DeltaScenarioStd,DeltaScenarioSE,DeltaScenarioCI95,ImprovedScenarios,ScenarioCount
Mask-Corrected vs Coverage-Aware B=3,same-preview direct ablation,Slots,Coverage-Aware B=3 sm=4.1 cw=0.5 cpw=0,Mask-Corrected Coverage-Aware B=3 mc=1,3.604198,3.232469,-0.371728,0.086718,0.028906,0.066658,9,9
Mask-Corrected vs Coverage-Aware B=3,same-preview direct ablation,Failed,Coverage-Aware B=3 sm=4.1 cw=0.5 cpw=0,Mask-Corrected Coverage-Aware B=3 mc=1,5.804074,5.385185,-0.418889,0.162751,0.054250,0.125101,9,9
Mask-Corrected vs Coverage-Aware B=3,same-preview direct ablation,Missed,Coverage-Aware B=3 sm=4.1 cw=0.5 cpw=0,Mask-Corrected Coverage-Aware B=3 mc=1,5.438148,5.385185,-0.052963,0.637141,0.212380,0.489749,6,9
Mask-Corrected vs Coverage-Aware B=3,same-preview direct ablation,Gap,Coverage-Aware B=3 sm=4.1 cw=0.5 cpw=0,Mask-Corrected Coverage-Aware B=3 mc=1,2.206635,2.382168,0.175533,0.227587,0.075862,0.174938,3,9
Mask-Corrected vs Coverage-Aware B=4,same-preview coverage reference,Slots,Coverage-Aware B=4 cw=0.5 cpw=0,Mask-Corrected Coverage-Aware B=3 mc=1,3.648765,3.232469,-0.416296,0.112563,0.037521,0.086523,9,9
Mask-Corrected vs Coverage-Aware B=4,same-preview coverage reference,Failed,Coverage-Aware B=4 cw=0.5 cpw=0,Mask-Corrected Coverage-Aware B=3 mc=1,5.271481,5.385185,0.113704,0.185751,0.061917,0.142781,3,9
Mask-Corrected vs Coverage-Aware B=4,same-preview coverage reference,Missed,Coverage-Aware B=4 cw=0.5 cpw=0,Mask-Corrected Coverage-Aware B=3 mc=1,6.132716,5.385185,-0.747531,0.544506,0.181502,0.418544,8,9
Mask-Corrected vs Coverage-Aware B=4,same-preview coverage reference,Gap,Coverage-Aware B=4 cw=0.5 cpw=0,Mask-Corrected Coverage-Aware B=3 mc=1,2.246051,2.382168,0.136117,0.232990,0.077663,0.179091,3,9
Mask-Corrected vs Sparse-TopK B=4,same-preview sparse baseline,Slots,Sparse-TopK B=4 sm=3,Mask-Corrected Coverage-Aware B=3 mc=1,3.769506,3.232469,-0.537037,0.093665,0.031222,0.071997,9,9
Mask-Corrected vs Sparse-TopK B=4,same-preview sparse baseline,Failed,Sparse-TopK B=4 sm=3,Mask-Corrected Coverage-Aware B=3 mc=1,5.272222,5.385185,0.112963,0.234923,0.078308,0.180578,3,9
Mask-Corrected vs Sparse-TopK B=4,same-preview sparse baseline,Missed,Sparse-TopK B=4 sm=3,Mask-Corrected Coverage-Aware B=3 mc=1,6.642593,5.385185,-1.257407,0.332934,0.110978,0.255915,9,9
Mask-Corrected vs Sparse-TopK B=4,same-preview sparse baseline,Gap,Sparse-TopK B=4 sm=3,Mask-Corrected Coverage-Aware B=3 mc=1,2.333832,2.382168,0.048336,0.176101,0.058700,0.135363,4,9
