policy,success_mean,success_ci95,success_std,perfect_rate,slots_mean,slots_ci95,avg_mse,avg_power,total_energy_mean,total_energy_ci95,decision_preview_calls_per_slot_mean,tie_candidates_mean,avg_reward
SAC,48.4394,0.01913987920547016,0.9729993011302731,12.0,9.7784,0.022292361382321338,2.774211737735336e-07,0.4362211543244367,16.652380582846362,0.02788546694645466,0.0,0.0,94.1676940474093
SAC Fixed g/a,48.9152,0.02017372310705161,1.0129210038300125,32.440000000000005,9.0646,0.03826068603671384,3.999999999999998e-07,0.42292539877437285,16.01685292419826,0.03573498177224138,0.0,0.0,95.64216765012145
Codebook-Aware SAC,49.9058,0.009263981001707553,0.3300399369773301,91.5,5.4206,0.03681253612561881,3.999999999999998e-07,0.4436874431643253,16.526606034341636,0.02733463210547992,0.0,0.0,98.47224053167105
Feature Argmax IRS,49.9946,0.0013293366766919182,0.0759660450464548,99.48,2.5404,0.013853748084904678,3.999999999999998e-07,0.4206700952886007,16.573350646299872,0.06460997083791598,0.0,2.74592,99.0508581164268
Feature Argmax PowerTie IRS,49.9946,0.0013293366766919182,0.0759660450464548,99.48,2.5496,0.01104577819802654,3.999999999999998e-07,0.3638608839522054,15.977936231052212,0.05360440808700228,2.32249,2.7482366666666667,99.12804359239937
Greedy IRS,49.9946,0.0013293366766919182,0.0759660450464548,99.48,2.5496,0.01104577819802654,3.999999999999998e-07,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,16.0,99.12804359239937
Random IRS,49.9654,0.0023682770108255863,0.1892163840686107,96.66,5.146,0.04566421443537603,3.999999999999998e-07,0.4475392492985893,16.570953579162115,0.047865683566162415,0.0,0.0,98.58686908618289
Random Fixed IRS,40.9534,0.05062949748911148,2.671109964041166,0.0,10.0,0.0,3.999999999999998e-07,0.29890806539786724,12.241358503225475,0.0372428958807029,0.0,0.0,36.8694450638377
Best Fixed IRS 4,41.038,0.08749375017679902,2.6906051363959,0.0,10.0,0.0,3.999999999999998e-07,0.2988834844885825,12.265678913769003,0.03581711217919107,0.0,0.0,37.748157379230925
Fixed IRS 7,40.9552,0.07285138340484734,2.7005912241581473,0.0,10.0,0.0,3.999999999999998e-07,0.29875773340632605,12.235502415511117,0.042677435584792645,0.0,0.0,36.81022026685988
No IRS,38.9412,0.0706291105989589,2.9219415736800762,0.0,10.0,0.0,3.999999999999998e-07,0.3351087429136704,13.051771096978525,0.041163198718588874,0.0,0.0,11.897444811911848
