slot_cost,preview_cost,label,probe_budget,policy,utility,success_mean,perfect_rate,slots_mean,total_preview_calls_mean,total_energy_mean,oracle_tx_gap_mean
0.0,0.0,Greedy Full Preview B=16,16,Greedy Full Preview,49.9946,49.9946,99.48,2.5496,40.7936,15.977936231052212,0.0
0.0,0.0005,Rotating Grid Probe B=2,2,Rotating Grid Probe,49.9889272,49.9928,99.3,3.8728,7.7456,16.376840989793408,1.2118780952380952
0.0,0.001,Rotating Grid Probe B=2,2,Rotating Grid Probe,49.9850544,49.9928,99.3,3.8728,7.7456,16.376840989793408,1.2118780952380952
0.0,0.002,Rotating Grid Probe B=2,2,Rotating Grid Probe,49.9773088,49.9928,99.3,3.8728,7.7456,16.376840989793408,1.2118780952380952
0.0,0.005,Rotating Grid Probe B=2,2,Rotating Grid Probe,49.954072000000004,49.9928,99.3,3.8728,7.7456,16.376840989793408,1.2118780952380952
0.0,0.01,Rotating Grid Probe B=2,2,Rotating Grid Probe,49.915344000000005,49.9928,99.3,3.8728,7.7456,16.376840989793408,1.2118780952380952
0.0,0.02,Hybrid Local+Grid Probe B=1,1,Hybrid Local+Grid Probe,49.860072,49.9634,96.52,5.1664,5.1664,16.588035042547165,1.717758174603175
0.0,0.05,Hybrid Local+Grid Probe B=1,1,Hybrid Local+Grid Probe,49.70508,49.9634,96.52,5.1664,5.1664,16.588035042547165,1.717758174603175
0.05,0.0,Greedy Full Preview B=16,16,Greedy Full Preview,49.86712,49.9946,99.48,2.5496,40.7936,15.977936231052212,0.0
0.05,0.0005,Greedy Full Preview B=16,16,Greedy Full Preview,49.8467232,49.9946,99.48,2.5496,40.7936,15.977936231052212,0.0
0.05,0.001,Rotating Grid Probe B=8,8,Rotating Grid Probe,49.8339748,49.9946,99.48,2.7694,22.1552,16.078476428374586,0.3158323809523809
0.05,0.002,Rotating Grid Probe B=8,8,Rotating Grid Probe,49.8118196,49.9946,99.48,2.7694,22.1552,16.078476428374586,0.3158323809523809
0.05,0.005,Rotating Grid Probe B=4,4,Rotating Grid Probe,49.773414,49.9946,99.48,3.1598,12.6392,16.20613280025471,0.7308569047619048
0.05,0.01,Rotating Grid Probe B=2,2,Rotating Grid Probe,49.721704,49.9928,99.3,3.8728,7.7456,16.376840989793408,1.2118780952380952
0.05,0.02,Rotating Grid Probe B=2,2,Rotating Grid Probe,49.644248,49.9928,99.3,3.8728,7.7456,16.376840989793408,1.2118780952380952
0.05,0.05,Hybrid Local+Grid Probe B=1,1,Hybrid Local+Grid Probe,49.446760000000005,49.9634,96.52,5.1664,5.1664,16.588035042547165,1.717758174603175
0.1,0.0,Greedy Full Preview B=16,16,Greedy Full Preview,49.73964,49.9946,99.48,2.5496,40.7936,15.977936231052212,0.0
0.1,0.0005,Greedy Full Preview B=16,16,Greedy Full Preview,49.7192432,49.9946,99.48,2.5496,40.7936,15.977936231052212,0.0
0.1,0.001,Greedy Full Preview B=16,16,Greedy Full Preview,49.6988464,49.9946,99.48,2.5496,40.7936,15.977936231052212,0.0
0.1,0.002,Rotating Grid Probe B=8,8,Rotating Grid Probe,49.673349599999995,49.9946,99.48,2.7694,22.1552,16.078476428374586,0.3158323809523809
0.1,0.005,Rotating Grid Probe B=4,4,Rotating Grid Probe,49.615424,49.9946,99.48,3.1598,12.6392,16.20613280025471,0.7308569047619048
0.1,0.01,Rotating Grid Probe B=4,4,Rotating Grid Probe,49.55222799999999,49.9946,99.48,3.1598,12.6392,16.20613280025471,0.7308569047619048
0.1,0.02,Rotating Grid Probe B=2,2,Rotating Grid Probe,49.450608,49.9928,99.3,3.8728,7.7456,16.376840989793408,1.2118780952380952
0.1,0.05,Rotating Grid Probe B=2,2,Rotating Grid Probe,49.21824000000001,49.9928,99.3,3.8728,7.7456,16.376840989793408,1.2118780952380952
0.2,0.0,Greedy Full Preview B=16,16,Greedy Full Preview,49.48468,49.9946,99.48,2.5496,40.7936,15.977936231052212,0.0
0.2,0.0005,Greedy Full Preview B=16,16,Greedy Full Preview,49.4642832,49.9946,99.48,2.5496,40.7936,15.977936231052212,0.0
0.2,0.001,Greedy Full Preview B=16,16,Greedy Full Preview,49.4438864,49.9946,99.48,2.5496,40.7936,15.977936231052212,0.0
0.2,0.002,Greedy Full Preview B=16,16,Greedy Full Preview,49.403092799999996,49.9946,99.48,2.5496,40.7936,15.977936231052212,0.0
0.2,0.005,Rotating Grid Probe B=8,8,Rotating Grid Probe,49.329944,49.9946,99.48,2.7694,22.1552,16.078476428374586,0.3158323809523809
0.2,0.01,Rotating Grid Probe B=4,4,Rotating Grid Probe,49.236247999999996,49.9946,99.48,3.1598,12.6392,16.20613280025471,0.7308569047619048
0.2,0.02,Rotating Grid Probe B=4,4,Rotating Grid Probe,49.109856,49.9946,99.48,3.1598,12.6392,16.20613280025471,0.7308569047619048
0.2,0.05,Rotating Grid Probe B=2,2,Rotating Grid Probe,48.830960000000005,49.9928,99.3,3.8728,7.7456,16.376840989793408,1.2118780952380952
